asin,title,author,soldBy,imgUrl,productURL,stars,reviews,price,isKindleUnlimited,category_id,isBestSeller,isEditorsPick,isGoodReadsChoice,publishedDate,category_name
B0192CTMX2,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Pottermore,https://m.media-amazon.com/images/I/81qw3KkMDyL._AC_UY218_.jpg,https://www.amazon.com/dp/B0192CTMX2,4.9,83802,9.99,True,5,False,False,False,,Literature & Fiction
B00EKOC0HI,Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,,https://m.media-amazon.com/images/I/81FDXdnrh7L._AC_UY218_.jpg,https://www.amazon.com/dp/B00EKOC0HI,4.7,83524,0.0,False,14,False,False,False,2013-12-09,Politics & Social Sciences
B009U9S6FI,Man's Search for Meaning,Viktor E. Frankl,Penguin Random House Publisher Services,https://m.media-amazon.com/images/I/71tdb1udZnL._AC_UY218_.jpg,https://www.amazon.com/dp/B009U9S6FI,4.7,83522,9.99,False,9,True,False,False,2006-06-01,Biographies & Memoirs
B004XFYN9M,What Alice Forgot,Liane Moriarty,Penguin Group (USA) LLC,https://m.media-amazon.com/images/I/81aNCmunduL._AC_UY218_.jpg,https://www.amazon.com/dp/B004XFYN9M,4.3,83439,9.99,False,5,False,False,False,2011-06-02,Literature & Fiction
B00AEBETU2,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,Penguin Group (USA) LLC,https://m.media-amazon.com/images/I/810To65q4xL._AC_UY218_.jpg,https://www.amazon.com/dp/B00AEBETU2,4.6,82425,14.99,False,4,False,True,False,2013-06-04,History
B002MQYOFW,"The Hunger Games (Hunger Games Trilogy, Book 1)",Suzanne Collins,Scholastic Trade Publisher,https://m.media-amazon.com/images/I/81qPd0bhz0L._AC_UY218_.jpg,https://www.amazon.com/dp/B002MQYOFW,4.7,81518,9.99,True,16,False,False,False,,Teen & Young Adult
B07DMZ5YR9,Daisy Jones & The Six: A Novel,Taylor Jenkins Reid,Random House LLC,https://m.media-amazon.com/images/I/81Z+3n31w7L._AC_UY218_.jpg,https://www.amazon.com/dp/B07DMZ5YR9,4.4,80915,12.99,False,5,False,True,False,2019-03-05,Literature & Fiction
B003XF1XOQ,"Mockingjay (Hunger Games Trilogy, Book 3)",Suzanne Collins,Scholastic Trade Publisher,https://m.media-amazon.com/images/I/71Cpfb-DMIL._AC_UY218_.jpg,https://www.amazon.com/dp/B003XF1XOQ,4.6,80520,9.99,True,16,False,False,False,,Teen & Young Adult
B084357H23,The Invisible Life of Addie LaRue,V. E. Schwab,Macmillan,https://m.media-amazon.com/images/I/91-aN4sH1yL._AC_UY218_.jpg,https://www.amazon.com/dp/B084357H23,4.5,80119,12.99,False,5,False,True,False,2020-10-06,Literature & Fiction
B0089LOG02,Orphan Train: A Novel,Christina Baker Kline,HarperCollins Publishers,https://m.media-amazon.com/images/I/811llLfZgeL._AC_UY218_.jpg,https://www.amazon.com/dp/B0089LOG02,4.5,79062,9.99,False,16,False,False,True,2013-04-02,Teen & Young Adult
B08WRHBXGN,The Lincoln Highway: A New York Times Number One Bestseller,Amor Towles,,https://m.media-amazon.com/images/I/81YfdDsgqbL._AC_UY218_.jpg,https://www.amazon.com/dp/B08WRHBXGN,4.4,78977,0.0,False,16,False,True,False,2021-10-21,Teen & Young Adult
B08WRH53MY,The Lincoln Highway: A Novel,Amor Towles,Penguin Group (USA) LLC,https://m.media-amazon.com/images/I/81Tj2FKAeZL._AC_UY218_.jpg,https://www.amazon.com/dp/B08WRH53MY,4.4,78958,12.99,False,5,False,True,False,2021-10-05,Literature & Fiction
B0192CTMXM,Harry Potter and the Order of the Phoenix,J.K. Rowling,Pottermore,https://m.media-amazon.com/images/I/81RB10qey5L._AC_UY218_.jpg,https://www.amazon.com/dp/B0192CTMXM,4.8,78103,9.99,True,5,False,False,False,,Literature & Fiction
B0010SKUYM,The Name of the Wind (The Kingkiller Chronicle Book 1),Patrick Rothfuss,Penguin Random House Publisher Services,https://m.media-amazon.com/images/I/91kBQf9rfqL._AC_UY218_.jpg,https://www.amazon.com/dp/B0010SKUYM,4.7,78058,9.99,False,5,False,True,False,,Literature & Fiction
B00SJPZCWE,The Girl in the Spider's Web (Millennium series Book 4),David Lagercrantz,,https://m.media-amazon.com/images/I/81EPBpPp3kL._AC_UY218_.jpg,https://www.amazon.com/dp/B00SJPZCWE,4.1,77558,0.0,False,14,False,True,False,2015-08-27,Politics & Social Sciences
B088FF4S7Q,West with Giraffes: A Novel,Lynda Rutledge,Amazon.com Services LLC,https://m.media-amazon.com/images/I/91giQulzYFL._AC_UY218_.jpg,https://www.amazon.com/dp/B088FF4S7Q,4.7,77481,4.99,True,5,False,False,True,2021-02-01,Literature & Fiction
B0192CTMUU,Harry Potter and the Goblet of Fire,J.K. Rowling,Pottermore,https://m.media-amazon.com/images/I/81YoazRCtBL._AC_UY218_.jpg,https://www.amazon.com/dp/B0192CTMUU,4.9,77216,9.99,True,5,False,False,False,,Literature & Fiction
B08GS1BT6T,The Man Who Died Twice: (The Thursday Murder Club 2),Richard Osman,,https://m.media-amazon.com/images/I/71juXlhTfmL._AC_UY218_.jpg,https://www.amazon.com/dp/B08GS1BT6T,4.6,76551,0.0,False,5,False,True,False,2021-09-14,Literature & Fiction
B007IXWKUK,"Fifty Shades Darker (Fifty Shades, Book 2)",E L James,Amazon.com Services LLC,https://m.media-amazon.com/images/I/61W3xPprTUL._AC_UY218_.jpg,https://www.amazon.com/dp/B007IXWKUK,4.5,75976,7.99,False,5,False,False,False,,Literature & Fiction
B00BSBR9N6,The Rosie Project: A Novel (Don Tillman Book 1),Graeme Simsion,Simon and Schuster Digital Sales Inc,https://m.media-amazon.com/images/I/71BeTMKVjuL._AC_UY218_.jpg,https://www.amazon.com/dp/B00BSBR9N6,4.3,75471,13.99,True,5,False,True,False,,Literature & Fiction
B003WUYPPG,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,Random House LLC,https://m.media-amazon.com/images/I/91UmKFGfyYL._AC_UY218_.jpg,https://www.amazon.com/dp/B003WUYPPG,4.7,75470,8.99,False,9,False,True,False,2010-11-16,Biographies & Memoirs
B075818VDG,A Court of Frost and Starlight (A Court of Thorns and Roses Book 4),Sarah J. Maas,Amazon.com Services LLC,https://m.media-amazon.com/images/I/81qWMWf5QBL._AC_UY218_.jpg,https://www.amazon.com/dp/B075818VDG,4.4,75305,8.3,False,5,False,False,True,,Literature & Fiction
B007N6JEII,Throne of Glass,Sarah J. Maas,Amazon.com Services LLC,https://m.media-amazon.com/images/I/9170S5KMYfL._AC_UY218_.jpg,https://www.amazon.com/dp/B007N6JEII,4.5,75221,8.21,False,16,False,False,False,,Teen & Young Adult
B08NFT8N8F,The Paper Palace (Reese's Book Club): A Novel,Miranda Cowley Heller,Penguin Group (USA) LLC,https://m.media-amazon.com/images/I/81T63kK6n-L._AC_UY218_.jpg,https://www.amazon.com/dp/B08NFT8N8F,4.2,75076,9.99,False,5,False,False,True,2021-07-06,Literature & Fiction
B074H8NFDF,The Extraordinary Life of Sam Hell: A Novel,Robert Dugoni,Amazon.com Services LLC,https://m.media-amazon.com/images/I/81aLzIbZNUL._AC_UY218_.jpg,https://www.amazon.com/dp/B074H8NFDF,4.6,74666,5.99,True,5,False,True,False,2018-04-24,Literature & Fiction
